Type,Category,Occurences,,,,,,,,,,,,,
Blog post/Online article,Blog post/Online article,92,,,,,,,,,,,,,
White paper,Blog post/Online article,3,,,,,,,,,,,,,
Forum post,Discussion,28,,,,,,,,,,,,,
Q&A,Discussion,6,,,,,,,,,,,,,
Presentation video,Presentation,9,,,,,,,,,,,,,
Presentation slides,Presentation,2,,,,,,,,,,,,,
Presentation appendix,Presentation,1,,,,,,,,,,,,,
Documentation,Project Artifact,3,,,,,,,,,,,,,
Technical report,Project Artifact,1,,,,,,,,,,,,,
Bug report,Project Artifact,1,,,,,,,,,,,,,
Published paper,Research,12,,,,,,,,,,,,,
Master's thesis,Research,1,,,,,,,,,,,,,
Bachelor's thesis,Research,1,,,,,,,,,,,,,
Book,Book,11,,,,,,,,,,,,,
Book chapter,Book,1,,,,,,,,,,,,,
Course/Certification material,Course,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Blog post/Online article,Blog post/Online article,White paper,
,,,,,,,,,,,,Discussion,Forum post,Q&A,
,,,,,,,,,,,,Presentation,Presentation video,Presentation slides,Presentation appendix
,,,,,,,,,,,,Project artifact,Documentation,Technical report,Bug report
,,,,,,,,,,,,Research,Published paper,Master's thesis,Bachelor's thesis
,,,,,,,,,,,,Book,Book,Book chapter,
,,,,,,,,,,,,Course,Course/Certification material,,
